Train Time	Valid Time	Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
3.224718	0.997492	0.500000	0.936786	1.201437	63.169014	46.305419	
3.181391	1.055355	0.500000	0.964766	1.458595	63.309859	51.231527	
3.194392	1.010711	0.500000	0.935067	0.953706	63.450704	65.517241	
3.394863	0.954226	0.500000	0.941813	1.532368	62.535211	42.857143	
3.344734	0.936305	0.500000	0.908019	1.306515	64.154930	51.724138	
3.114544	1.029457	0.500000	0.947163	1.385744	62.676056	55.665025	
3.251128	0.998879	0.500000	0.891099	1.593377	65.422535	45.812808	
3.158791	0.987682	0.500000	0.909156	2.111091	65.492958	40.394089	
3.166982	1.034189	0.500000	0.894812	1.003201	65.704225	68.965517	
3.449325	1.022539	0.500000	0.886275	0.978350	66.478873	64.039409	
3.202412	1.101715	0.500000	0.880726	3.065742	65.140845	44.827586	
3.493332	0.967420	0.500000	0.971259	1.561695	64.225352	45.812808	
3.261274	1.016183	0.500000	0.919355	0.978012	65.915493	61.083744	
3.484234	0.957477	0.500000	0.896541	1.356180	67.394366	56.157636	
3.179861	0.996429	0.500000	0.857941	0.965069	67.112676	64.039409	
3.202534	1.021782	0.500000	0.860927	1.006139	66.619718	65.517241	
3.164293	1.013114	0.500000	0.874449	1.728499	67.535211	51.724138	
3.069679	1.102221	0.500000	0.918524	1.172013	65.000000	56.157635	
3.318245	1.028201	0.500000	0.917949	0.971574	65.352113	60.098522	
3.380233	1.002789	0.500000	0.870097	0.960868	66.971831	66.009852	
3.164052	1.011451	0.500000	0.861055	2.555410	67.394366	39.901478	
3.284041	0.979318	0.500000	0.867154	1.260015	67.253521	62.068966	
3.262643	0.985373	0.500000	0.951052	1.996592	65.845070	37.931034	
3.123468	0.973367	0.500000	0.869518	1.278536	66.971831	52.709360	
3.092655	0.964200	0.500000	0.832740	1.317160	68.380282	58.128079	
3.266488	1.039518	0.500000	0.843429	0.947669	68.169014	63.054187	
3.314843	1.016868	0.500000	0.833434	1.277694	68.661972	54.679803	
3.346574	1.018153	0.500000	0.780694	1.292237	71.056338	55.172414	
3.303116	0.982733	0.500000	0.807959	1.001015	70.422535	66.995074	
3.345231	1.035307	0.500000	0.804330	0.947419	70.000000	61.576355	
3.284338	1.019255	0.500000	0.796345	1.134131	70.422535	61.576355	
3.264716	1.046956	0.500000	0.799048	1.351274	70.422535	66.502463	
3.199859	0.978663	0.500000	0.841529	0.829667	69.647887	64.039409	
