Train Time	Valid Time	Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
3.405573	0.980473	0.005000	0.291630	0.448904	89.436620	84.729064	
3.623866	1.014799	0.005000	0.277429	0.449282	90.070423	84.729064	
3.330982	0.974204	0.005000	0.292783	0.450461	89.295775	84.729064	
3.403169	1.035693	0.005000	0.291863	0.441287	89.295775	84.729064	
3.212226	1.015972	0.005000	0.300402	0.436303	89.014085	84.729064	
3.582592	1.034730	0.005000	0.296416	0.429810	89.577465	84.729064	
3.521772	0.977667	0.005000	0.289094	0.428592	89.647887	84.236453	
3.356243	0.981562	0.005000	0.292871	0.440672	89.436620	84.236453	
3.272290	1.001298	0.005000	0.279999	0.447321	89.577465	84.236453	
3.413773	1.018440	0.005000	0.283259	0.439352	89.929577	84.236453	
3.335016	1.045305	0.005000	0.284309	0.430785	90.563380	84.729064	
3.187771	0.990357	0.005000	0.298224	0.431955	88.098592	84.729064	
3.191599	0.981600	0.005000	0.284584	0.441772	90.000000	84.729064	
3.303067	1.014802	0.005000	0.284934	0.444020	88.873239	84.729064	
3.335630	0.997504	0.005000	0.286314	0.453027	90.000000	84.236453	
3.066393	1.026210	0.005000	0.288194	0.443137	89.225352	83.743842	
3.252405	1.031606	0.005000	0.286578	0.439573	89.788732	84.236453	
3.290054	1.024257	0.005000	0.303580	0.432901	88.802817	85.221675	
3.722722	1.109455	0.005000	0.279806	0.437200	90.000000	85.221675	
3.728558	1.025462	0.005000	0.316538	0.429460	88.098592	83.743842	
3.331791	0.999333	0.005000	0.295974	0.433719	89.647887	83.743842	
3.475964	1.130461	0.005000	0.302903	0.439479	89.577465	83.743842	
3.451169	1.004912	0.005000	0.316497	0.447974	89.366197	83.251232	
3.343898	1.003743	0.005000	0.287208	0.434752	89.929577	82.758621	
3.207339	1.082553	0.005000	0.287715	0.431530	89.366197	83.743842	
3.401371	0.984492	0.005000	0.273167	0.436290	90.000000	83.743842	
3.253753	1.035135	0.005000	0.286928	0.435951	89.225352	84.236453	
3.399997	1.114421	0.005000	0.279384	0.442431	90.281690	84.729064	
3.354372	1.058014	0.005000	0.286583	0.440880	89.788732	84.236453	
3.381970	0.978693	0.005000	0.294917	0.438634	89.718310	84.236453	
3.536883	1.089836	0.005000	0.285825	0.452798	89.647887	84.236453	
3.072474	0.955583	0.005000	0.278205	0.439013	90.000000	84.236453	
3.230290	0.997004	0.005000	0.294712	0.442365	89.436620	84.729064	
3.341733	0.995608	0.005000	0.295478	0.441146	88.732394	84.236453	
3.123057	1.113047	0.005000	0.298486	0.440174	88.943662	83.743842	
3.460432	1.009999	0.005000	0.289402	0.443376	89.014085	84.236453	
3.468130	1.030843	0.005000	0.270851	0.441370	90.492958	84.729064	
3.658237	0.989620	0.005000	0.283957	0.433918	90.281690	84.729064	
3.124783	1.019450	0.005000	0.272331	0.431333	89.788732	85.221675	
3.502234	1.030694	0.005000	0.281599	0.435856	89.929577	84.729064	
3.711471	1.022134	0.005000	0.293430	0.436375	89.718310	84.729064	
3.290720	1.048706	0.005000	0.285267	0.426591	89.366197	84.729064	
3.288233	0.993433	0.005000	0.259641	0.433478	90.704225	84.236453	
3.484776	1.040616	0.005000	0.290742	0.443531	89.154930	84.236453	
3.344498	0.982540	0.005000	0.299556	0.430840	90.211268	84.236453	
3.347845	1.011540	0.005000	0.303455	0.424550	89.436620	84.729064	
3.278968	0.999970	0.005000	0.286035	0.428738	89.507042	85.221675	
3.132198	1.027640	0.005000	0.289314	0.439357	89.507042	85.714286	
3.370426	1.003625	0.005000	0.270820	0.445061	90.704225	83.743842	
3.431606	0.995027	0.005000	0.276572	0.450298	89.718310	83.743842	
3.391323	1.017731	0.005000	0.283181	0.465366	88.873239	83.743842	
3.464341	1.090086	0.005000	0.296764	0.458980	89.295775	84.236453	
3.296737	1.141785	0.005000	0.292212	0.445845	89.295775	84.236453	
3.278132	1.041144	0.005000	0.270889	0.431462	90.281690	85.221675	
3.363433	1.003133	0.005000	0.282669	0.431273	90.352113	85.714286	
3.548461	1.076485	0.005000	0.282966	0.439587	88.873239	85.221675	
